 Image,RA,DEC,Simple,Dust strip,Bulge,Overlap,Irregular,X-type,Interacting
,22.20300,34.34576,1,-1,-1,-1,0,-1,-1
,28.64935,-3.67899,1,-1,-1,-1,-1,-1,-1
,168.41705,5.25778,1,-1,-1,-1,-1,-1,-1
,181.87340,8.24164,1,-1,-1,-1,-1,-1,-1
,357.50256,28.08575,-1,-1,0,-1,-1,0,-1
,327.94551,-3.48157,-1,1,0,-1,-1,-1,-1
,3.98086,16.00371,1,-1,-1,-1,0,-1,-1
,112.43329,33.68979,-1,0,-1,-1,1,-1,-1
,55.47145,17.82634,-1,0,-1,-1,-1,-1,-1
,303.90075,-0.98181,-1,0,0,-1,1,-1,-1
,153.90285,6.34782,-1,-1,-1,-1,1,-1,-1
,165.62834,0.87692,-1,-1,0,-1,0,-1,-1
,128.65238,4.48629,-1,1,1,-1,-1,-1,-1
,131.09122,9.53728,-1,-1,-1,-1,0,-1,-1
,131.07344,9.54062,1,-1,-1,0,-1,-1,-1
,101.26588,26.66662,-1,-1,1,-1,-1,-1,-1
,9.46930,16.50961,-1,1,0,-1,-1,-1,-1
,25.53495,13.41060,1,-1,-1,-1,-1,-1,-1
,36.36550,-6.04423,1,-1,-1,-1,-1,-1,-1
,52.00965,38.47685,-1,0,1,-1,-1,0,-1
,16.79791,-10.70560,-1,0,0,-1,-1,-1,-1
,44.49052,-3.06170,-1,1,-1,-1,1,-1,-1
,45.19031,43.69579,-1,0,1,-1,-1,-1,-1
,349.04199,26.00998,1,-1,-1,-1,-1,-1,-1
,170.77840,-8.97969,1,-1,-1,1,-1,-1,-1
,51.28236,5.23493,-1,1,-1,-1,-1,-1,-1
,44.68644,44.68383,-1,1,1,-1,-1,1,-1
,124.74036,59.65790,-1,1,-1,-1,-1,-1,-1
,53.04296,-27.72140,-1,0,-1,-1,-1,-1,-1
,31.31190,30.00470,1,-1,-1,-1,-1,-1,-1
,112.66334,15.12102,-1,1,-1,0,0,-1,-1
,26.37347,24.84068,-1,-1,1,1,-1,-1,-1
,281.84643,64.33841,-1,-1,1,-1,-1,-1,-1
,226.92697,6.88584,1,-1,-1,-1,-1,-1,-1
,146.51473,0.16836,-1,0,-1,1,-1,-1,-1
,338.70079,-0.42141,1,-1,-1,-1,-1,-1,-1
,159.84524,0.56550,-1,1,1,-1,-1,-1,-1
,17.15424,1.64128,1,-1,-1,-1,-1,-1,-1
,149.98504,26.28712,-1,1,0,-1,-1,-1,-1
,242.81830,24.49504,1,-1,-1,-1,-1,-1,-1
,339.35224,23.79832,-1,-1,1,-1,-1,1,-1
,130.30834,0.53137,-1,-1,1,-1,-1,-1,-1
,28.31402,-7.59732,-1,1,1,1,-1,-1,-1
,351.97294,7.92458,-1,1,1,-1,-1,-1,-1
,355.36536,-10.09469,-1,1,1,-1,-1,-1,-1
,138.61795,31.33263,-1,0,-1,-1,-1,-1,-1
,359.21695,-8.87464,-1,1,1,-1,-1,-1,-1
,258.67078,8.88076,1,-1,-1,-1,-1,-1,-1
